regionname,party_english,validvote2
A Coruna,Union of the Democratic Centre,221996
A Coruna,Spanish Socialist Workers' Party,78598
A Coruna,People's Alliance,50256
A Coruna,People's Socialist Party-Socialist Unity,23978
A Coruna,Communist Party of Spain,16777
A Coruna,Others,56821
Alava,Union of the Democratic Centre,38338
Alava,Spanish Socialist Workers' Party,34244
Alava,Basque Nationalist Party,21708
Alava,People's Alliance,7927
Alava,Communist Party of Spain,3906
Alava,People's Socialist Party-Socialist Unity,1677
Alava,Others,16167
Albacete,Union of the Democratic Centre,64603
Albacete,Spanish Socialist Workers' Party,56332
Albacete,People's Alliance,16005
Albacete,Communist Party of Spain,13623
Albacete,Others,18516
Alicante,Spanish Socialist Workers' Party,213242
Alicante,Union of the Democratic Centre,197100
Alicante,Communist Party of Spain,50444
Alicante,People's Alliance,35755
Alicante,People's Socialist Party-Socialist Unity,21621
Alicante,Others,29951
Almeria,Union of the Democratic Centre,92019
Almeria,Spanish Socialist Workers' Party,50723
Almeria,People's Alliance,14886
Almeria,Communist Party of Spain,11926
Almeria,People's Socialist Party-Socialist Unity,5789
Almeria,Others,9479
Asturias,Spanish Socialist Workers' Party,182850
Asturias,Communist Unification of Spain ,177843
Asturias,People's Alliance,77932
Asturias,Communist Party of Spain,60297
Asturias,People's Socialist Party-Socialist Unity,40807
Asturias,Others,35359
Avila,Union of the Democratic Centre,71650
Avila,Spanish Socialist Workers' Party,14984
Avila,People's Alliance,7123
Avila,Communist Party of Spain,2406
Avila,People's Socialist Party-Socialist Unity,1777
Avila,Others,6954
Badajoz,Union of the Democratic Centre,148697
Badajoz,Spanish Socialist Workers' Party,107797
Badajoz,Communist Party of Spain,21932
Badajoz,People's Alliance,21880
Badajoz,People's Socialist Party-Socialist Unity,5578
Badajoz,Others,12510
Balears,Union of the Democratic Centre,163536
Balears,Spanish Socialist Workers' Party,73554
Balears,People's Alliance,28472
Balears,People's Socialist Party-Socialist Unity,16244
Balears,Communist Party of Spain,14046
Balears,Others,17984
Barcelona,Socialists' Party of Catalonia,721880
Barcelona,Unified Socialist Party of Catalonia,469361
Barcelona,Democratic Pact for Catalonia,364798
Barcelona,Union of the Democratic Centre,355857
Barcelona,Catalan Union and Catalan Christian Democrats,127679
Barcelona,Left of Catalonia-Electoral Democratic Front,112794
Barcelona,Citizens,75097
Barcelona,People's Socialist Party-Socialist Unity,41356
Barcelona,Others,90016
Burgos,Union of the Democratic Centre,89363
Burgos,Spanish Socialist Workers' Party,44388
Burgos,People's Alliance,28707
Burgos,People's Socialist Party-Socialist Unity,5870
Burgos,Communist Party of Spain,4765
Burgos,Others,12465
Caceres,Union of the Democratic Centre,115729
Caceres,Spanish Socialist Workers' Party,54827
Caceres,People's Alliance,19516
Caceres,Communist Party of Spain,6797
Caceres,People's Socialist Party-Socialist Unity,4229
Caceres,Others,7903
Cadiz,Spanish Socialist Workers' Party,150896
Cadiz,Union of the Democratic Centre,112927
Cadiz,Communist Party of Spain,41809
Cadiz,People's Socialist Party-Socialist Unity,40232
Cadiz,People's Alliance,20424
Cadiz,Others,45662
Cantabria,Union of the Democratic Centre,102719
Cantabria,Spanish Socialist Workers' Party,67611
Cantabria,People's Alliance,36598
Cantabria,Communist Party of Spain,13971
Cantabria,People's Socialist Party-Socialist Unity,6923
Cantabria,Others,28193
Castellon,Union of the Democratic Centre,84115
Castellon,Spanish Socialist Workers' Party,69976
Castellon,Independent Centre Candidacy ,29834
Castellon,People's Alliance,14596
Castellon,Communist Party of Spain,14029
Castellon,People's Socialist Party-Socialist Unity,6430
Castellon,Others,18424
Ceuta,Union of the Democratic Centre,8808
Ceuta,Spanish Socialist Workers' Party,7886
Ceuta,People's Alliance,2915
Ceuta,People's Socialist Party-Socialist Unity,2763
Ceuta,Others,1851
Cordoba,Spanish Socialist Workers' Party,122361
Cordoba,Union of the Democratic Centre,117482
Cordoba,Communist Party of Spain,59668
Cordoba,People's Alliance,33616
Cordoba,People's Socialist Party-Socialist Unity,13195
Cordoba,Others,14934
Cuenca,Union of the Democratic Centre,70550
Cuenca,Spanish Socialist Workers' Party,28350
Cuenca,People's Alliance,10277
Cuenca,Communist Party of Spain,7927
Cuenca,People's Socialist Party-Socialist Unity,1947
Cuenca,Others,6862
Cuidad Real ,Union of the Democratic Centre,102362
Cuidad Real ,Spanish Socialist Workers' Party,79715
Cuidad Real ,People's Alliance,31310
Cuidad Real ,Communist Party of Spain,15562
Cuidad Real ,People's Socialist Party-Socialist Unity,13582
Cuidad Real ,Others,5099
Girona,Democratic Pact for Catalonia,67275
Girona,Socialists' Party of Catalonia,60747
Girona,Union of the Democratic Centre,45231
Girona,Unified Socialist Party of Catalonia,24746
Girona,Catalan Union and Catalan Christian Democrats,13331
Girona,Citizens,7953
Girona,Left of Catalonia-Electoral Democratic Front,6178
Girona,People's Socialist Party-Socialist Unity,1673
Girona,Others,18706
Granada,Union of the Democratic Centre,152498
Granada,Spanish Socialist Workers' Party,111746
Granada,Communist Party of Spain,33879
Granada,People's Alliance,24573
Granada,People's Socialist Party-Socialist Unity,12567
Granada,Others,12255
Guadalajara,Union of the Democratic Centre,39321
Guadalajara,Spanish Socialist Workers' Party,17133
Guadalajara,People's Alliance,12815
Guadalajara,Communist Party of Spain,5521
Guadalajara,People's Socialist Party-Socialist Unity,2182
Guadalajara,Others,3515
Guioruzcoa,Basque Nationalist Party,102494
Guioruzcoa,Spanish Socialist Workers' Party,93010
Guioruzcoa,Basque Country Left,31208
Guioruzcoa,People's Alliance,27048
Guioruzcoa,Communist Party of Spain,12042
Guioruzcoa,People's Socialist Party-Socialist Unity,4841
Guioruzcoa,Others,59492
Huelva,Union of the Democratic Centre,89494
Huelva,Spanish Socialist Workers' Party,63172
Huelva,Communist Party of Spain,10217
Huelva,People's Alliance,9415
Huelva,People's Socialist Party-Socialist Unity,4819
Huelva,Others,9839
Huesca,Union of the Democratic Centre,55837
Huesca,Spanish Socialist Workers' Party,33693
Huesca,People's Socialist Party-Socialist Unity,13730
