country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,2,ES530,Balears,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,33451,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,CUP-PR,NA,NA,NA,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,EAJ-PNV,NA,NA,NA,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,MAS PAIS,NA,NA,8395,10652,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,MES-ESQUERRA,NA,NA,NA,18295,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,OTHER,NA,NA,NA,1892,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,PACMA,NA,NA,3219,6207,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,PODEMOS-IU,NA,NA,NA,82225,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,103722,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,115567,807170,458592,454199.00
Spain,ES,2,ES530,Balears,Parliament,2019,VOX,Voice,Vox,3218,77520,807170,458592,454199.00
Spain,ES,2,ES701,Las Palmas,Parliament,2019,CCA-PNC-NC,NA,NA,NA,48028,871728,489354,483928.00
Spain,ES,2,ES701,Las Palmas,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,28018,871728,489354,483928.00
Spain,ES,2,ES701,Las Palmas,Parliament,2019,CUP-PR,NA,NA,NA,0,871728,489354,483928.00
Spain,ES,2,ES701,Las Palmas,Parliament,2019,EAJ-PNV,NA,NA,NA,0,871728,489354,483928.00
